month,year,best
1,1951,-1.13
1,1952,0.64
1,1953,0.18
1,1954,0.0
1,1955,-0.01
1,1956,-1.1
1,1957,-0.44
1,1958,1.67
1,1959,0.68
1,1960,0.07
1,1961,0.15
1,1962,-0.83
1,1963,-0.47
1,1964,0.67
1,1965,-0.03
1,1966,1.22
1,1967,-0.91
1,1968,-0.47
1,1969,1.11
1,1970,0.87
1,1971,-0.83
1,1972,-0.41
1,1973,1.06
1,1974,-1.96
1,1975,0.11
1,1976,-1.42
1,1977,0.65
1,1978,0.63
1,1979,0.26
1,1980,0.21
1,1981,-0.31
1,1982,-0.36
1,1983,2.76
1,1984,-0.37
1,1985,-0.19
1,1986,-0.73
1,1987,0.99
1,1988,0.54
1,1989,-1.55
1,1990,0.15
1,1991,0.12
1,1992,2.12
1,1993,0.59
1,1994,0.16
1,1995,0.84
1,1996,-0.66
1,1997,-0.3
1,1998,2.73
1,1999,-1.7
1,2000,-1.26
1,2001,-0.87
1,2002,-0.15
1,2003,0.85
1,2004,0.88
1,2005,0.2
1,2006,-1.22
1,2007,0.88
1,2008,-1.75
1,2009,-1.32
1,2010,1.62
2,1951,-0.69
2,1952,0.56
2,1953,0.51
2,1954,0.4
2,1955,-1.14
2,1956,-1.14
2,1957,0.04
2,1958,1.24
2,1959,1.07
2,1960,-0.02
2,1961,-0.27
2,1962,0.11
2,1963,-0.29
2,1964,0.4
2,1965,-0.22
2,1966,0.78
2,1967,-0.95
2,1968,-0.82
2,1969,1.06
2,1970,0.83
2,1971,-1.5
2,1972,-0.47
2,1973,1.39
2,1974,-1.66
2,1975,-0.43
2,1976,-1.24
2,1977,-0.01
2,1978,1.64
2,1979,-0.25
2,1980,0.21
2,1981,-0.03
2,1982,-0.06
2,1983,3.08
2,1984,-0.54
2,1985,-0.95
2,1986,0.26
2,1987,1.42
2,1988,0.54
2,1989,-1.23
2,1990,1.12
2,1991,0.23
2,1992,1.51
2,1993,0.74
2,1994,-0.07
2,1995,0.7
2,1996,-0.39
2,1997,-0.75
2,1998,2.61
2,1999,-1.22
2,2000,-1.75
2,2001,-1.15
2,2002,-0.33
2,2003,1.07
2,2004,-0.48
2,2005,2.23
2,2006,-0.31
2,2007,0.3
2,2008,-2.52
2,2009,-1.95
2,2010,1.94
3,1951,-0.24
3,1952,0.07
3,1953,0.5
3,1954,0.17
3,1955,-0.58
3,1956,-0.98
3,1957,0.24
3,1958,0.87
3,1959,-0.09
3,1960,-0.21
3,1961,0.95
3,1962,-0.13
3,1963,-0.27
3,1964,-0.36
3,1965,-0.3
3,1966,1.31
3,1967,-0.55
3,1968,-0.27
3,1969,0.48
3,1970,0.2
3,1971,-1.66
3,1972,-0.2
3,1973,0.46
3,1974,-1.82
3,1975,-0.84
3,1976,-0.97
3,1977,0.78
3,1978,0.4
3,1979,0.32
3,1980,0.52
3,1981,0.82
3,1982,0.0
3,1983,2.5
3,1984,0.02
3,1985,-0.72
3,1986,-0.29
3,1987,1.71
3,1988,0.18
3,1989,-1.14
3,1990,0.61
3,1991,0.64
3,1992,2.22
3,1993,0.81
3,1994,0.52
3,1995,0.44
3,1996,-0.52
3,1997,0.42
3,1998,2.46
3,1999,-1.04
3,2000,-1.2
3,2001,-0.46
3,2002,0.44
3,2003,0.83
3,2004,0.0
3,2005,0.33
3,2006,-1.0
3,2007,0.15
3,2008,-1.24
3,2009,-0.3
3,2010,1.21
4,1951,0.33
4,1952,0.71
4,1953,0.81
4,1954,-0.31
4,1955,-0.4
4,1956,-0.95
4,1957,0.43
4,1958,0.35
4,1959,0.2
4,1960,-0.19
4,1961,-0.23
4,1962,-0.28
4,1963,-0.14
4,1964,-1.0
4,1965,0.52
4,1966,0.89
4,1967,-0.29
4,1968,-0.19
4,1969,0.71
4,1970,0.46
4,1971,-1.69
4,1972,0.44
4,1973,0.17
4,1974,-1.23
4,1975,-0.95
4,1976,-0.35
4,1977,0.33
4,1978,0.11
4,1979,0.47
4,1980,0.86
4,1981,0.18
4,1982,0.47
4,1983,1.57
4,1984,-0.56
4,1985,-1.08
4,1986,-0.29
4,1987,1.84
4,1988,-0.31
4,1989,-1.66
4,1990,0.32
4,1991,0.86
4,1992,2.05
4,1993,1.71
4,1994,1.1
4,1995,0.96
4,1996,-0.53
4,1997,0.97
4,1998,1.55
4,1999,-1.22
4,2000,-1.01
4,2001,-0.09
4,2002,0.4
4,2003,0.3
4,2004,0.65
4,2005,0.72
4,2006,-0.39
4,2007,0.26
4,2008,-0.93
4,2009,-0.54
4,2010,-0.14
5,1951,0.71
5,1952,-0.5
5,1953,1.78
5,1954,-0.34
5,1955,-1.3
5,1956,-1.04
5,1957,1.1
5,1958,1.16
5,1959,0.08
5,1960,0.07
5,1961,0.05
5,1962,-0.76
5,1963,0.09
5,1964,-0.45
5,1965,0.31
5,1966,0.43
5,1967,0.15
5,1968,-0.81
5,1969,0.87
5,1970,0.15
5,1971,-1.0
5,1972,1.56
5,1973,-0.45
5,1974,-1.18
5,1975,-0.96
5,1976,-0.57
5,1977,0.72
5,1978,-1.0
5,1979,-0.18
5,1980,0.44
5,1981,-0.35
5,1982,1.05
5,1983,0.66
5,1984,-0.39
5,1985,-0.5
5,1986,0.05
5,1987,1.97
5,1988,-1.3
5,1989,-1.26
5,1990,-0.29
5,1991,1.37
5,1992,1.19
5,1993,1.2
5,1994,0.89
5,1995,0.63
5,1996,-0.48
5,1997,2.1
5,1998,0.63
5,1999,-0.64
5,2000,-0.58
5,2001,0.36
5,2002,1.06
5,2003,0.08
5,2004,-0.12
5,2005,1.08
5,2006,0.63
5,2007,0.15
5,2008,-0.27
5,2009,0.68
5,2010,-0.76
6,1951,0.19
6,1952,-0.74
6,1953,0.62
6,1954,-0.44
6,1955,-1.49
6,1956,-1.06
6,1957,0.68
6,1958,0.46
6,1959,0.13
6,1960,0.07
6,1961,0.36
6,1962,-0.21
6,1963,0.63
6,1964,-0.91
6,1965,1.03
6,1966,0.18
6,1967,-0.23
6,1968,-0.16
6,1969,0.4
6,1970,-0.51
6,1971,-0.67
6,1972,1.23
6,1973,-1.07
6,1974,-0.58
6,1975,-1.58
6,1976,0.14
6,1977,1.2
6,1978,-0.43
6,1979,-0.08
6,1980,0.64
6,1981,-0.47
6,1982,1.74
6,1983,0.82
6,1984,-0.28
6,1985,-0.11
6,1986,-0.31
6,1987,2.08
6,1988,-1.11
6,1989,-0.74
6,1990,0.12
6,1991,0.94
6,1992,1.18
6,1993,1.39
6,1994,0.83
6,1995,0.28
6,1996,-0.54
6,1997,2.11
6,1998,-0.95
6,1999,-0.82
6,2000,-0.27
6,2001,0.13
6,2002,0.99
6,2003,0.32
6,2004,0.61
6,2005,0.39
6,2006,0.48
6,2007,-0.07
6,2008,-0.46
6,2009,0.64
6,2010,-0.69
7,1951,1.33
7,1952,-0.54
7,1953,0.36
7,1954,-0.81
7,1955,-1.72
7,1956,-1.13
7,1957,0.65
7,1958,0.1
7,1959,0.17
7,1960,-0.25
7,1961,-0.16
7,1962,-0.05
7,1963,0.81
7,1964,-0.64
7,1965,1.9
7,1966,0.44
7,1967,0.02
7,1968,0.08
7,1969,0.59
7,1970,-0.36
7,1971,-0.42
7,1972,1.7
7,1973,-1.05
7,1974,-0.93
7,1975,-1.83
7,1976,0.86
7,1977,1.23
7,1978,-0.45
7,1979,-0.66
7,1980,0.26
7,1981,-0.58
7,1982,1.57
7,1983,0.39
7,1984,-0.2
7,1985,-0.22
7,1986,0.2
7,1987,2.1
7,1988,-1.61
7,1989,-0.64
7,1990,0.03
7,1991,0.71
7,1992,0.69
7,1993,0.94
7,1994,1.11
7,1995,0.0
7,1996,-0.26
7,1997,1.89
7,1998,-1.5
7,1999,-0.78
7,2000,-0.07
7,2001,0.44
7,2002,1.12
7,2003,0.23
7,2004,0.89
7,2005,0.35
7,2006,0.64
7,2007,0.06
7,2008,0.02
7,2009,0.63
7,2010,-2.17
8,1951,1.01
8,1952,-0.12
8,1953,0.9
8,1954,-1.16
8,1955,-1.27
8,1956,-1.06
8,1957,1.08
8,1958,-0.13
8,1959,0.03
8,1960,-0.22
8,1961,-0.08
8,1962,-0.2
8,1963,0.88
8,1964,-1.13
8,1965,1.55
8,1966,-0.13
8,1967,-0.4
8,1968,0.35
8,1969,0.72
8,1970,-0.81
8,1971,-1.1
8,1972,1.47
8,1973,-1.4
8,1974,-0.47
8,1975,-1.76
8,1976,0.89
8,1977,0.85
8,1978,-0.48
8,1979,0.48
8,1980,-0.12
8,1981,-0.29
8,1982,1.9
8,1983,0.09
8,1984,-0.31
8,1985,-0.64
8,1986,0.59
8,1987,1.87
8,1988,-1.64
8,1989,-0.04
8,1990,0.47
8,1991,0.82
8,1992,-0.08
8,1993,0.92
8,1994,1.33
8,1995,-0.2
8,1996,-0.35
8,1997,2.48
8,1998,-1.44
8,1999,-0.95
8,2000,-0.44
8,2001,0.51
8,2002,1.45
8,2003,0.17
8,2004,0.9
8,2005,0.4
8,2006,1.02
8,2007,-0.48
8,2008,-0.35
8,2009,1.02
8,2010,-2.33
9,1951,1.1
9,1952,-0.03
9,1953,1.19
9,1954,-0.68
9,1955,-1.46
9,1956,-0.56
9,1957,0.94
9,1958,0.05
9,1959,-0.26
9,1960,-0.18
9,1961,-0.3
9,1962,-0.53
9,1963,0.83
9,1964,-1.15
9,1965,1.63
9,1966,0.18
9,1967,-0.5
9,1968,0.3
9,1969,0.94
9,1970,-0.98
9,1971,-1.13
9,1972,1.6
9,1973,-1.46
9,1974,-0.7
9,1975,-1.9
9,1976,1.08
9,1977,0.86
9,1978,-0.34
9,1979,0.37
9,1980,0.26
9,1981,-0.19
9,1982,2.04
9,1983,-0.67
9,1984,-0.21
9,1985,-0.29
9,1986,0.76
9,1987,1.68
9,1988,-1.71
9,1989,-0.4
9,1990,0.55
9,1991,1.02
9,1992,-0.02
9,1993,0.65
9,1994,1.18
9,1995,-0.42
9,1996,-0.44
9,1997,2.27
9,1998,-1.23
9,1999,-0.54
9,2000,-0.72
9,2001,-0.08
9,2002,1.21
9,2003,0.31
9,2004,0.82
9,2005,-0.14
9,2006,0.86
9,2007,-0.63
9,2008,-0.8
9,2009,0.35
9,2010,-2.76
10,1951,1.15
10,1952,-0.06
10,1953,0.16
10,1954,-0.57
10,1955,-1.64
10,1956,-1.3
10,1957,0.5
10,1958,0.26
10,1959,-0.08
10,1960,0.07
10,1961,-0.06
10,1962,-0.63
10,1963,1.19
10,1964,-1.17
10,1965,1.54
10,1966,0.14
10,1967,-0.12
10,1968,0.37
10,1969,1.04
10,1970,-0.71
10,1971,-1.26
10,1972,1.59
10,1973,-1.33
10,1974,-0.78
10,1975,-1.66
10,1976,0.45
10,1977,1.2
10,1978,0.16
10,1979,0.37
10,1980,0.11
10,1981,0.32
10,1982,2.22
10,1983,-0.77
10,1984,-0.2
10,1985,-0.01
10,1986,0.3
10,1987,1.14
10,1988,-1.86
10,1989,-0.51
10,1990,0.17
10,1991,1.28
10,1992,0.75
10,1993,0.96
10,1994,1.29
10,1995,-0.26
10,1996,-0.28
10,1997,2.15
10,1998,-1.28
10,1999,-1.03
10,2000,-0.9
10,2001,0.14
10,2002,1.15
10,2003,0.44
10,2004,0.56
10,2005,-0.47
10,2006,1.26
10,2007,-1.14
10,2008,-0.82
10,2009,1.83
10,2010,-2.35
11,1951,0.91
11,1952,-0.02
11,1953,0.37
11,1954,-0.67
11,1955,-1.65
11,1956,-0.56
11,1957,1.2
11,1958,0.36
11,1959,-0.5
11,1960,-0.47
11,1961,-0.41
11,1962,-0.33
11,1963,0.86
11,1964,-0.52
11,1965,1.91
11,1966,-0.07
11,1967,0.14
11,1968,0.65
11,1969,0.5
11,1970,-1.31
11,1971,-0.69
11,1972,1.18
11,1973,-2.46
11,1974,-0.26
11,1975,-1.36
11,1976,0.11
11,1977,1.33
11,1978,0.07
11,1979,0.5
11,1980,0.31
11,1981,-0.15
11,1982,2.69
11,1983,-0.53
11,1984,-0.66
11,1985,-0.02
11,1986,1.35
11,1987,0.74
11,1988,-2.06
11,1989,0.06
11,1990,0.4
11,1991,1.0
11,1992,0.36
11,1993,0.24
11,1994,1.02
11,1995,-0.38
11,1996,-0.03
11,1997,1.92
11,1998,-1.28
11,1999,-1.3
11,2000,-1.4
11,2001,-0.4
11,2002,1.2
11,2003,0.46
11,2004,0.85
11,2005,0.04
11,2006,0.57
11,2007,-1.23
11,2008,-0.89
11,2009,1.51
11,2010,-1.83
12,1951,0.83
12,1952,0.41
12,1953,0.41
12,1954,-0.96
12,1955,-1.15
12,1956,-0.7
12,1957,0.86
12,1958,0.59
12,1959,-0.34
12,1960,-0.23
12,1961,-0.7
12,1962,-0.15
12,1963,1.21
12,1964,-0.27
12,1965,0.79
12,1966,0.2
12,1967,0.24
12,1968,0.39
12,1969,0.29
12,1970,-1.36
12,1971,-0.47
12,1972,1.84
12,1973,-1.89
12,1974,-0.43
12,1975,-1.74
12,1976,0.6
12,1977,1.18
12,1978,0.18
12,1979,0.81
12,1980,0.33
12,1981,-0.11
12,1982,2.38
12,1983,-0.37
12,1984,-0.62
12,1985,-0.21
12,1986,1.31
12,1987,0.9
12,1988,-1.47
12,1989,0.27
12,1990,0.4
12,1991,1.82
12,1992,0.41
12,1993,0.12
12,1994,1.33
12,1995,0.01
12,1996,-0.48
12,1997,1.74
12,1998,-1.52
12,1999,-1.49
12,2000,-0.78
12,2001,0.41
12,2002,1.48
12,2003,-0.28
12,2004,0.95
12,2005,-0.2
12,2006,0.9
12,2007,-1.6
12,2008,-1.07
12,2009,1.73
12,2010,-2.99
