1950,-1.38,-1.21,-1.11,-1.16,-1.11,-0.92,-0.64,-0.58,-0.54,-0.56,-0.65,-0.81
1951,-0.84,-0.55,-0.2,0.15,0.19,0.37,0.45,0.73,0.79,0.86,0.74,0.6
1952,0.46,0.37,0.4,0.44,0.35,0.18,0.01,0.06,0.15,0.17,0.19,0.3
1953,0.53,0.64,0.67,0.65,0.71,0.7,0.7,0.7,0.76,0.77,0.76,0.69
1954,0.68,0.42,0,-0.38,-0.51,-0.47,-0.54,-0.69,-0.72,-0.61,-0.54,-0.49
1955,-0.55,-0.55,-0.67,-0.71,-0.69,-0.59,-0.57,-0.61,-0.96,-1.37,-1.64,-1.36
1956,-0.92,-0.56,-0.56,-0.51,-0.5,-0.42,-0.49,-0.47,-0.44,-0.44,-0.46,-0.44
1957,-0.27,-0.02,0.29,0.55,0.7,0.88,1.04,1.15,1.14,1.2,1.34,1.57
1958,1.66,1.52,1.16,0.82,0.67,0.56,0.47,0.35,0.4,0.5,0.57,0.61
1959,0.59,0.53,0.42,0.23,0.07,-0.18,-0.26,-0.29,-0.13,-0.11,-0.05,-0.1
1960,-0.11,-0.15,-0.09,-0.04,-0.09,-0.15,-0.04,0.1,0.16,0.08,0.01,0
1961,-0.03,-0.04,-0.08,-0.02,0.12,0.2,0.1,-0.14,-0.31,-0.31,-0.22,-0.15
1962,-0.18,-0.21,-0.23,-0.27,-0.27,-0.21,-0.11,-0.15,-0.17,-0.29,-0.33,-0.42
1963,-0.35,-0.16,0.07,0.15,0.17,0.36,0.69,0.99,1.11,1.15,1.21,1.14
1964,0.98,0.56,0.1,-0.31,-0.56,-0.64,-0.7,-0.73,-0.76,-0.8,-0.81,-0.75
1965,-0.53,-0.26,-0.07,0.13,0.38,0.71,1.04,1.34,1.63,1.74,1.76,1.54
1966,1.25,1.04,0.85,0.56,0.32,0.19,0.18,0.07,-0.02,-0.05,-0.14,-0.26
1967,-0.37,-0.46,-0.54,-0.47,-0.24,-0.04,0,-0.21,-0.33,-0.4,-0.39,-0.5
1968,-0.7,-0.82,-0.71,-0.51,-0.1,0.21,0.45,0.4,0.32,0.42,0.58,0.81
1969,0.94,0.95,0.87,0.72,0.61,0.45,0.42,0.52,0.76,0.81,0.79,0.66
1970,0.58,0.44,0.39,0.28,0.08,-0.26,-0.6,-0.75,-0.83,-0.82,-0.93,-1.16
1971,-1.32,-1.32,-1.09,-0.85,-0.76,-0.73,-0.75,-0.71,-0.75,-0.77,-0.87,-0.82
1972,-0.69,-0.36,0.01,0.33,0.57,0.82,1.06,1.3,1.53,1.75,1.95,1.91
1973,1.65,1.16,0.6,0.03,-0.4,-0.76,-0.96,-1.16,-1.36,-1.66,-1.86,-1.92
1974,-1.73,-1.47,-1.17,-0.97,-0.87,-0.76,-0.55,-0.36,-0.38,-0.56,-0.7,-0.6
1975,-0.51,-0.51,-0.58,-0.61,-0.7,-0.83,-1,-1.1,-1.29,-1.37,-1.49,-1.57
1976,-1.48,-1.11,-0.69,-0.43,-0.28,-0.1,0.09,0.26,0.53,0.72,0.81,0.8
1977,0.71,0.62,0.37,0.29,0.3,0.41,0.37,0.38,0.47,0.64,0.75,0.76
1978,0.67,0.43,0.08,-0.15,-0.28,-0.28,-0.38,-0.44,-0.43,-0.3,-0.13,-0.03
1979,-0.01,0.07,0.21,0.32,0.27,0.13,0.1,0.23,0.34,0.47,0.51,0.61
1980,0.57,0.45,0.34,0.37,0.48,0.5,0.34,0.16,0.02,0.05,0.13,0.03
1981,-0.19,-0.43,-0.43,-0.34,-0.24,-0.27,-0.28,-0.26,-0.18,-0.14,-0.13,-0.04
1982,-0.02,0.09,0.19,0.45,0.61,0.67,0.75,1.02,1.49,1.86,2.09,2.12
1983,2.06,1.8,1.47,1.22,0.99,0.65,0.29,-0.04,-0.32,-0.63,-0.8,-0.75
1984,-0.49,-0.33,-0.26,-0.35,-0.43,-0.36,-0.26,-0.16,-0.25,-0.55,-0.88,-1.05
1985,-0.92,-0.73,-0.68,-0.71,-0.71,-0.55,-0.43,-0.39,-0.36,-0.3,-0.23,-0.29
1986,-0.41,-0.39,-0.26,-0.15,-0.08,-0.02,0.19,0.4,0.66,0.85,0.99,1.07
1987,1.14,1.19,1.13,0.99,0.93,1.08,1.36,1.56,1.57,1.43,1.22,1.05
1988,0.76,0.48,0.12,-0.28,-0.77,-1.18,-1.24,-1.11,-1.2,-1.44,-1.72,-1.75
1989,-1.6,-1.37,-1.08,-0.85,-0.62,-0.42,-0.32,-0.27,-0.26,-0.26,-0.19,-0.08
1990,0.11,0.16,0.19,0.19,0.2,0.25,0.29,0.34,0.36,0.33,0.36,0.36
1991,0.36,0.25,0.22,0.24,0.4,0.55,0.69,0.66,0.67,0.8,1.15,1.42
1992,1.58,1.51,1.36,1.17,1.01,0.75,0.46,0.19,-0.03,-0.13,-0.13,-0.01
1993,0.15,0.3,0.51,0.7,0.75,0.58,0.31,0.22,0.17,0.17,0.12,0.11
1994,0.12,0.11,0.18,0.28,0.36,0.36,0.38,0.35,0.43,0.62,0.92,1.04
1995,0.92,0.69,0.49,0.28,0.15,0,-0.17,-0.45,-0.72,-0.91,-0.97,-0.94
1996,-0.87,-0.74,-0.57,-0.38,-0.24,-0.21,-0.19,-0.25,-0.3,-0.36,-0.43,-0.49
1997,-0.5,-0.42,-0.18,0.14,0.61,1.03,1.42,1.72,1.98,2.18,2.26,2.25
1998,2.11,1.8,1.36,0.95,0.46,-0.07,-0.67,-1,-1.18,-1.2,-1.33,-1.43
1999,-1.44,-1.22,-0.98,-0.87,-0.93,-0.96,-1.02,-1.01,-1.07,-1.18,-1.38,-1.57
2000,-1.58,-1.39,-1.1,-0.86,-0.74,-0.65,-0.59,-0.54,-0.6,-0.68,-0.78,-0.74
2001,-0.65,-0.49,-0.4,-0.32,-0.24,-0.11,-0.08,-0.12,-0.19,-0.27,-0.36,-0.31
2002,-0.17,0.03,0.09,0.2,0.41,0.61,0.75,0.81,0.94,1.09,1.19,1.1
2003,0.93,0.69,0.41,0.02,-0.18,-0.1,0.08,0.17,0.22,0.28,0.33,0.33
2004,0.31,0.26,0.19,0.14,0.15,0.28,0.45,0.63,0.68,0.66,0.64,0.68
2005,0.66,0.63,0.5,0.46,0.34,0.16,0.02,-0.06,-0.04,-0.23,-0.48,-0.68
2006,-0.65,-0.55,-0.38,-0.23,-0.04,0.04,0.14,0.28,0.47,0.69,0.85,0.92
2007,0.72,0.4,0.07,-0.12,-0.2,-0.27,-0.38,-0.63,-0.89,-1.13,-1.25,-1.33
2008,-1.35,-1.26,-1.09,-0.87,-0.72,-0.54,-0.37,-0.29,-0.3,-0.38,-0.55,-0.7
2009,-0.74,-0.59,-0.35,-0.08,0.16,0.35,0.46,0.52,0.64,0.88,1.14,1.31
2010,1.3,1.16,0.88,0.48,0.01,-0.44,-0.85,-1.18,-1.38,-1.45,-1.43,-1.4
2011,-1.25,-1.01,-0.74,-0.54,-0.36,-0.26,-0.34,-0.57,-0.79,-0.94,-0.96,-0.87
2012,-0.7,-0.52,-0.44,-0.38,-0.3,-0.12,0.06,0.25,0.34,0.33,0.08,-0.2
2013,-0.4,-0.4,-0.3,-0.22,-0.2,-0.24,-0.27,-0.25,-0.24,-0.25,-0.26,-0.34
2014,-0.46,-0.5,-0.38,-0.16,-0.05,-0.04,-0.09,-0.04,0.1,0.35,0.52,0.62
2015,0.56,0.51,0.55,0.68,0.84,0.97,1.17,1.42,1.69,1.96,2.15,2.28
2016,2.22,1.99,1.58,1.08,0.59,0.09,-0.33,-0.59,-0.75,-0.84,-0.84,-0.67
2017,-0.42,-0.12,0.15,0.39,0.4,0.27,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9