"time","wpsh","yr","ix",
722816,1.1094,1979,0.4854,
722847,0.3494,1980,1.5349,
722875,0.33955,1981,-1.0817,
722906,0.63833,1982,-0.68283,
722936,-0.38109,1983,1.2751,
722967,0.25886,1984,-1.61,
722997,-0.59958,1985,-1.3525,
723028,-1.7805,1986,-1.8135,
723059,-0.36622,1987,0.9493,
723089,-0.79815,1988,0.66246,
723120,0.75227,1989,-0.53184,
723150,0.9099,1990,-0.97213,
723181,0.26855,1991,-0.16644,
723212,0.99364,1992,0.32185,
723241,1.0225,1993,0.75177,
723272,0.71162,1994,-0.74668,
723302,0.021705,1995,1.4578,
723333,0.77455,1996,0.67957,
723363,-0.40664,1997,-0.19837,
723394,-0.79376,1998,2.1307,
723425,-1.2887,1999,0.13722,
723455,0.36514,2000,-0.13699,
723486,0.4987,2001,-1.1976,
723516,-0.15706,2002,-0.90065,
723547,0.4333,2003,1.0903,
723578,0.49485,2004,-1.3342,
723606,1.6143,2005,0.31552,
723637,0.84591,2006,-0.1115,
723667,-0.12838,2007,0.1311,
723698,-0.7141,2008,0.43594,
723728,-0.9212,2009,-0.83877,
723759,-3.0172,2010,2.018,
723790,-0.5098,2011,-0.41067,
723820,0.017747,2012,-1.2411,
723851,0.56495,2013,0.56745,
723881,0.87607,2014,0.010716,
723912,0.42332,2015,0.17121,
723943,0.3784,2016,0.20098,
723971,0.53584,,,
724002,0.32722,,,
724032,0.27585,,,
724063,-0.79173,,,
724093,-1.7504,,,
724124,-1.4662,,,
724155,-1.0076,,,
724185,-0.45048,,,
724216,1.3726,,,
724246,1.3366,,,
724277,2.096,,,
724308,1.514,,,
724336,1.3669,,,
724367,1.1728,,,
724397,0.56108,,,
724428,0.030047,,,
724458,0.062491,,,
724489,-0.93803,,,
724520,-0.065769,,,
724550,0.5426,,,
724581,0.24028,,,
724611,0.68681,,,
724642,0.022873,,,
724673,-0.19911,,,
724702,0.55168,,,
724733,-0.24335,,,
724763,-0.55372,,,
724794,-1.1993,,,
724824,-1.7433,,,
724855,-2.5633,,,
724886,-0.42999,,,
724916,-1.059,,,
724947,0.57992,,,
724977,-0.20592,,,
725008,0.19049,,,
725039,-0.5353,,,
725067,0.9792,,,
725098,-1.1258,,,
725128,-0.82322,,,
725159,-1.9028,,,
725189,-0.92728,,,
725220,-2.2598,,,
725251,-0.15716,,,
725281,0.40175,,,
725312,0.66266,,,
725342,0.3796,,,
725373,0.31794,,,
725404,-0.2227,,,
725432,0.29809,,,
725463,0.68967,,,
725493,-1.0368,,,
725524,-1.1987,,,
725554,-0.77945,,,
725585,-3.8564,,,
725616,-1.1549,,,
725646,0.91579,,,
725677,1.0225,,,
725707,0.96098,,,
725738,1.4547,,,
725769,1.4316,,,
725797,1.4285,,,
725828,1.0254,,,
725858,0.60691,,,
725889,-0.7171,,,
725919,-0.3927,,,
725950,-0.26202,,,
725981,-1.4928,,,
726011,0.29823,,,
726042,0.93972,,,
726072,1.5515,,,
726103,1.1192,,,
726134,0.9474,,,
726163,0.5031,,,
726194,0.71624,,,
726224,-0.31118,,,
726255,-0.32622,,,
726285,-1.2105,,,
726316,-0.29843,,,
726347,-1.0095,,,
726377,-0.99111,,,
726408,0.60774,,,
726438,0.58326,,,
726469,0.57407,,,
726500,0.31385,,,
726528,-0.39856,,,
726559,-0.4921,,,
726589,0.04154,,,
726620,-0.39484,,,
726650,-1.105,,,
726681,-2.2645,,,
726712,-1.1332,,,
726742,-0.49714,,,
726773,0.65384,,,
726803,0.56029,,,
726834,0.86292,,,
726865,1.9442,,,
726893,0.96794,,,
726924,0.049494,,,
726954,-0.21927,,,
726985,-0.63199,,,
727015,-1.395,,,
727046,-2.4486,,,
727077,-0.76962,,,
727107,0.27421,,,
727138,0.25545,,,
727168,1.1255,,,
727199,0.87656,,,
727230,0.89619,,,
727258,1.1355,,,
727289,0.65891,,,
727319,0.48167,,,
727350,-0.017213,,,
727380,-0.41343,,,
727411,-2.7435,,,
727442,-1.0963,,,
727472,-1.22,,,
727503,0.52957,,,
727533,1.3124,,,
727564,1.7344,,,
727595,0.95296,,,
727624,1.8878,,,
727655,0.25807,,,
727685,-0.38563,,,
727716,-0.50738,,,
727746,0.17782,,,
727777,-2.0558,,,
727808,-1.814,,,
727838,-0.6625,,,
727869,0.31716,,,
727899,1.8305,,,
727930,0.98096,,,
727961,1.0505,,,
727989,0.69152,,,
728020,0.76524,,,
728050,0.39685,,,
728081,0.07863,,,
728111,-0.71934,,,
728142,-1.0502,,,
728173,-0.3226,,,
728203,0.31961,,,
728234,0.89687,,,
728264,1.117,,,
728295,0.40952,,,
728326,-0.22511,,,
728354,1.0097,,,
728385,0.19335,,,
728415,-0.41957,,,
728446,-0.23872,,,
728476,-2.3826,,,
728507,-1.49,,,
728538,-1.7759,,,
728568,-0.54227,,,
728599,1.3689,,,
728629,1.5953,,,
728660,1.1775,,,
728691,0.59576,,,
728719,0.42106,,,
728750,0.88206,,,
728780,-0.015311,,,
728811,-0.119,,,
728841,-0.19833,,,
728872,-0.23309,,,
728903,-0.48987,,,
728933,-0.22539,,,
728964,0.54589,,,
728994,0.9803,,,
729025,0.42063,,,
729056,0.49685,,,
729085,0.54244,,,
729116,-0.24571,,,
729146,-0.34363,,,
729177,0.63744,,,
729207,-1.4116,,,
729238,-1.0333,,,
729269,-1.9988,,,
729299,0.2455,,,
729330,-0.054824,,,
729360,0.15305,,,
729391,0.22138,,,
729422,0.33604,,,
729450,0.93803,,,
729481,0.49477,,,
729511,-0.36305,,,
729542,-0.52584,,,
729572,-0.75477,,,
729603,-1.9451,,,
729634,-0.12604,,,
729664,1.1249,,,
729695,1.5279,,,
729725,1.6424,,,
729756,1.8534,,,
729787,2.0299,,,
729815,1.6608,,,
729846,1.9337,,,
729876,0.80535,,,
729907,0.65214,,,
729937,-0.1813,,,
729968,0.065766,,,
729999,-0.97618,,,
730029,0.27121,,,
730060,0.54962,,,
730090,0.9685,,,
730121,0.052788,,,
730152,0.78189,,,
730180,-0.62792,,,
730211,-0.3507,,,
730241,-0.03993,,,
730272,-0.24421,,,
730302,-1.7945,,,
730333,-0.64491,,,
730364,-0.57126,,,
730394,0.55846,,,
730425,-0.015372,,,
730455,0.90402,,,
730486,0.43054,,,
730517,-0.0078206,,,
730546,0.21,,,
730577,-0.035276,,,
730607,-1.0102,,,
730638,-0.050784,,,
730668,-1.5357,,,
730699,-1.54,,,
730730,-1.3359,,,
730760,-0.0013916,,,
730791,0.64789,,,
730821,0.37982,,,
730852,0.25233,,,
730883,0.10787,,,
730911,0.07858,,,
730942,0.11774,,,
730972,-0.46218,,,
731003,-0.58521,,,
731033,-1.539,,,
731064,-2.7157,,,
731095,-1.3233,,,
731125,0.042565,,,
731156,0.29551,,,
731186,1.6953,,,
731217,1.0521,,,
731248,1.1165,,,
731276,0.72595,,,
731307,0.28537,,,
731337,-0.47442,,,
731368,-0.35188,,,
731398,-2.2516,,,
731429,-1.7566,,,
731460,-0.90758,,,
731490,0.0023946,,,
731521,0.82617,,,
731551,1.558,,,
731582,1.1192,,,
731613,0.81437,,,
731641,0.72422,,,
731672,0.55801,,,
731702,-0.79961,,,
731733,-0.25745,,,
731763,-0.017642,,,
731794,-0.869,,,
731825,-0.83925,,,
731855,-0.39415,,,
731886,0.57967,,,
731916,0.93685,,,
731947,0.85978,,,
731978,0.63508,,,
732007,0.263,,,
732038,-0.088594,,,
732068,0.069904,,,
732099,-1.7747,,,
732129,-0.46829,,,
732160,-2.8174,,,
732191,-0.13153,,,
732221,-0.52165,,,
732252,0.96556,,,
732282,0.62351,,,
732313,0.1998,,,
732344,1.4008,,,
732372,1.2776,,,
732403,0.78786,,,
732433,-0.41638,,,
732464,-0.3871,,,
732494,-0.74429,,,
732525,-1.2642,,,
732556,-0.81504,,,
732586,0.19904,,,
732617,0.6085,,,
732647,0.95727,,,
732678,0.58092,,,
732709,1.5427,,,
732737,0.14757,,,
732768,0.14881,,,
732798,0.3802,,,
732829,0.017187,,,
732859,-1.012,,,
732890,-2.0905,,,
732921,-0.79421,,,
732951,-0.65024,,,
732982,0.92709,,,
733012,1.3524,,,
733043,1.6697,,,
733074,0.6858,,,
733102,0.31279,,,
733133,0.57191,,,
733163,-0.089728,,,
733194,-0.5573,,,
733224,-0.83018,,,
733255,-1.306,,,
733286,-1.5235,,,
733316,-0.3127,,,
733347,-0.39098,,,
733377,0.59041,,,
733408,0.96394,,,
733439,0.36172,,,
733468,0.10136,,,
733499,0.12703,,,
733529,-0.99525,,,
733560,-0.080921,,,
733590,-1.2065,,,
733621,-0.9136,,,
733652,-0.65292,,,
733682,0.89274,,,
733713,1.0962,,,
733743,0.4409,,,
733774,0.77861,,,
733805,0.48034,,,
733833,0.33699,,,
733864,-0.074226,,,
733894,-0.69091,,,
733925,-0.83412,,,
733955,-1.2166,,,
733986,-2.2094,,,
734017,-1.9546,,,
734047,-0.61055,,,
734078,0.29089,,,
734108,0.35393,,,
734139,1.3076,,,
734170,1.2127,,,
734198,1.3893,,,
734229,1.3471,,,
734259,-0.26021,,,
734290,0.14818,,,
734320,0.50141,,,
734351,-0.2951,,,
734382,0.065809,,,
734412,-0.35743,,,
734443,0.55965,,,
734473,-1.0126,,,
734504,0.0040873,,,
734535,-0.36827,,,
734563,0.27735,,,
734594,-0.18759,,,
734624,-0.0125,,,
734655,-0.10245,,,
734685,-1.6456,,,
734716,-1.8206,,,
734747,-1.4717,,,
734777,0.36291,,,
734808,0.80188,,,
734838,0.81654,,,
734869,0.3487,,,
734900,0.34515,,,
734929,0.3853,,,
734960,0.39377,,,
734990,-1.0213,,,
735021,-1.2523,,,
735051,-1.5368,,,
735082,-2.121,,,
735113,-0.88826,,,
735143,-0.83521,,,
735174,0.73002,,,
735204,0.62916,,,
735235,0.82584,,,
735266,1.2497,,,
735294,0.82405,,,
735325,0.021729,,,
735355,-0.18531,,,
735386,-0.6064,,,
735416,-0.50992,,,
735447,-0.87233,,,
735478,-1.8747,,,
735508,-1.4405,,,
735539,1.0665,,,
735569,0.36394,,,
735600,0.37101,,,
735631,-0.20201,,,
735659,0.73035,,,
735690,-0.011962,,,
735720,0.34136,,,
735751,-1.1465,,,
735781,-1.1823,,,
735812,-0.55916,,,
735843,-0.87944,,,
735873,-0.39227,,,
735904,0.62337,,,
735934,1.1781,,,
735965,0.78761,,,
735996,0.67455,,,
736024,1.3256,,,
736055,0.87129,,,
736085,0.26713,,,
736116,0.27452,,,
736146,-1.3109,,,
736177,-1.5923,,,
736208,-0.83989,,,
736238,-0.14846,,,
736269,1.6918,,,
736299,2.0667,,,
736330,1.93,,,
736361,2.0098,,,
736390,1.285,,,
736421,1.1635,,,
736451,0.6498,,,
736482,0.61446,,,
736512,-0.22813,,,
736543,-2.9669,,,
736574,-0.68748,,,
736604,0.0051762,,,
736635,0.56797,,,
736665,1.2437,,,

